name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
AIG Private Client Group (affialiate of Chartis Private Cleint Group),3644-SF,3/30/2010,"U.S. Franchises in DC, DE, MD, NJ, NY, PA & VA",R,NO,"10,000 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Herbert Bailey/Property Manager -908-679-2949, David Lenci/Claims Supervisor - 908-679-2651",Booties or protective footwear must be worn at all times while in the customer dwelling.
AIU Holdings (affiliate of Chartis Private Client Group),3644-SF,3/31/2010,"U.S. Franchises in DC, DE, MD, NJ, NY, PA & VA",R,NO,"10,001 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Herbert Bailey/Property Manager -908-679-2949, David Lenci/Claims Supervisor - 908-679-2652",Booties or protective footwear must be worn at all times while in the customer dwelling.
AIX Specialty Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Alfa Alliance Insurance Corporation,3616-SF-2,2/2/2015,U.S. Franchises in VA,R & C,No.  The deductible will be applied elsewhere on the claim.,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Michael T. Murray, Prop. Claims Supervisor, Phone 804-217-7358 or 855 253 2242 x 358","Notify adjuster in the following situations:  contents cleaning or packout is probable; pre-existing damage; demolition and reconstruction; dumsters; dry cleaner; pods; specialty items.     Board-up, debris removal, and contents are included in this program "
Alfa Insurance – Residential – Water Mitigation Only,3858-SF,3/17/2011,"U.S. Franchises in AL, GA, MS",R,NO,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,On Call Claims Manager - 1-800-964-2532 – Prompt #3,
All America Insurance  (subsidiary of Central Insurance),4162SF,9/10/2012,"U.S. Franchises in AZ, CO, CT, GA, IL, IN, MA, MI, NC, NH, NM, NY, OH, OK, SC, TN, TX, VA",R & C,Yes,"5,000 ","Excluding subcontract work:  $100,000 or less, use Xactimate; over $100,000, use T&M.","If Xactimate, use most current price list provided by Xactimate for your area.  If T&M, use most current price list for T&M.","Claims Dept. 888-263-2924  (IL, IN, MI, OH)419-238-1010;  (CT, MA, NH, NY)781-890-1752;  (GA, NC, SC, TN, VA)770-740-8000; (AZ, CO, NM, OK, TX)972-401-3400",
Allied Insurance Company/Nationwide Insurance Company,3557-F,12/16/2009,All U. S. States,R & C,"If directions for deductible is not provided on FNOL, contact the Nationwide/Allied Claims Handler.","1,500 ",Xactimate,Use most current price list provided by Xactimate for your area. Base Service Charges not allowed.,"Assigned Adjustter.  If not available, call 1-800-421-3535.  After-hours line:  800-285-2524.","SNAPA Acct.  Use Drying Workbook. Immediately report any pre-existing damage to Claims Handler. If more than 144 sq. ft. of flooring is unrepairable, obtain sample and notify Claims Handler. Do not dispose of any items that Claims Handler has deemed salvageable. Assist with moving and storage of salvageable items from loss location to an off-site location."
Allmerica Financial Alliance Ins.Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Allmerica Financial Benefit Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Allstate - Residential GHRN,4238-F-3,2/9/2015,All U. S. States,R,No, NA ,Xactimate 28,Most current price list,https://www.sso.servpronet.com/connect/national-accounts/program-participation/snapa/snapa-clients/allstate-insurance-company,SNAPA Acct.  refer to bulletin
Allstate - Commercial,4328-F,4/26/2013,All U. S. States,C,No, NA ,Xactimate,,1-800-359-1000,SNAPA Acct.
Allstate - Residential GHRN - Midwest Region,4293-SF-1,2/9/2015,"IL, MN and WI",R,No, NA ,Xactimate 28,Most current price list,https://www.sso.servpronet.com/connect/national-accounts/program-participation/snapa/snapa-clients/allstate-insurance-company,SNAPA Acct.  refer to bulletin
Allstate New York Region GHRN Program,4294-SF-2,9/6/2016,NY,R,N, NA ,Xactimate 28,Most current price list,https://www.sso.servpronet.com/connect/national-accounts/program-participation/snapa/snapa-clients/allstate-insurance-company,SNAPA Acct. refer to bulletin
Allstate - Residential GHRN - N. Central Region,4417-SF-3,8/8/2016,"IN, MI, OH",R,No, NA ,Xactimate 28,Most current price list,https://www.sso.servpronet.com/connect/national-accounts/program-participation/snapa/snapa-clients/allstate-insurance-company,SNAPA Acct.  refer to bulletin
Allstate West Central Region GHRN Bulletin,4297-SF-1,5/31/2016,"CO, MO, KS, IA, MT, ND, NE, SD, WY",R,No, NA ,Xactimate 28,Most current price list,https://www.sso.servpronet.com/connect/national-accounts/program-participation/snapa/snapa-clients/allstate-insurance-company,SNAPA Acct. refer to bulletin
America First,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-877-263-7890,SNAPA Acct.  Refer to bulletin
America First ,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-877-263-7890,SNAPA Acct.  Refer to bulletin
American Bankers (subsidiary of Assurant Specialty Property),3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
American Claims Management & Arrowhead Insurance Agency,3892-F,5/16/2011,All U. S. States,R,No.,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Claims 1-800-285-2524;                                                           Paul Swank 1-800-453-8610,"DryBook Mobile.  High level of communication with adjuster required.  Packout, Contents Cleaning, Demolition must be approved by adjuster. If after hours, only demolition immediately necessary as part of initial drying should be performed. If adjuster requests contents inventory, use POI. No referrals to other vendors. See bulletin for Commercial, Storm, or CAT jobs."
American Family Residential & Commercial Farm/Ranch,4124-SF-3,5/16/2016,"U. S. STATES OF:  AZ, CO, GA, ID, IA, IL, IN, KS, MN, MO, ND, NE, NV, OH, OR, SD, UT, WA, WI",R & C,"NO, unless directed by the adjuster to do so. Confirm with adjuster during initial verbal briefing."," Residential = $2,000.  If loss involves a sewer/drain reverse flow/overflow, a Townhouse/Condo when tenant is the policholder = $1,500. ",Xactimate 28,"Franchisee must use the price list downloaded with the assignment. Franchisees must
apply a 5% discount to the Xactimate® pricing for the Equipment included in Attachment 1- Qualified
Equipment Discount List (by Xactimate® Line Item & Description)",1-800-692-6326,"SNAPA Acct.  Drying Workbook required. Authorization required for any demolition over and above removal of baseboards and carpet pad. Contact adjuster if packout or dry cleaning is needed. Specialty Drying Equipment requires prior approval from adjuster. Sketch/Dimensioning - Measure to the inch. Photos required of all non-restorable items. If an item is suspected as potential subrogation, utilize the Am. Fam. Potential Subrogation Form. "
American Guarantee and Liability (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
American Hallmark Insurance Co. of Texas (subsidiary of Hallmark Insurance),3794-F,12/14/2010,"U. S. States of:  AZ, AR, CO, GA, ID, IL, IN, KS, KY, MS, MO, MT, NE, NV, NM, OK, OR, SC, TX, UT, WA, WY",R,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,800--486-5616,
American Insurance (subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
American Mercury Ins. Co.                                           American Mercury Lloyd's Insurance                                                 (subsidiaries of Mercury Ins. Co.),3199-F-2,11/22/2013,All U. S. States,R & C,Yes - on mitigation jobs only.," R  $2,000                             C  $3,000 ",Xactimate 27.5,Use most current price list provided by Xactimate for your area.,"Calif. - 909-919-7050 x21907; FL & GA -800-987-6000 x63225; AZ,IIL ,NV, OK & TX - 512-241-4162 x44162; PA, NY, NJ, VA - 800-987-2032 x60039","SNAPA Acct. - UTILIZE DRYBOOK. Do not solicit or refer any resoration work beyond mitigation.  Only if the insured initiates such discussion, should Franchisee discuss their capabilities beyond mitigation services.  PHOTOS: In addition to standard, include pre- and post-mitigation for all affected rooms with overview of eqipment and contents; post-mitigation photos after equipment removal. Lift and dry carpet if it can be saved. Reinstall saved carpet. If carpet cannot be saved, lift and remove carpet and leave 12"" square sample of carpet and pad at insured's for adjuster. Contact adjuster if: contents cleaning or packout is probable (must obtain adjuster approval and put on separate estimate), plumbing leakage appearing to have occurred over 24-hours, policyholder request bid for other than emergency water mitigation.  If restoration and/or reconstruction is appvd. by adjuster and insured, complete Xactimate estimate separate from mitigation. Documented appvl from adjuster must be received prior to commencing any restoration services. All contact with insureds must be time stamped and reported in SERVPRO's management reporting system."
American Platinum Prop. & Cas. (subsidiary of Universal Prop. & Cas.),4980-SF,5/23/2016,"DE, FL, GA, HI, IN, MD, MA, MI, MN, NC, PA, SC",R & C,yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-425-9113, Colleen Schilling, ext. 6210",
American Reliable (subsidiary of Assurant Specialty Property),3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
American Security Insurance (subsidiary of Assurant Specialty Property),3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
American Select (affiliate of Westfield Insurance),4064-SF,4/3/2012,"U. S. Franchises in AZ, CO, DE, FL, GA, IL, IN, IA, KY, MD, MI, MN, NM, NC, OH, PA, SC, TN, VA, WV, WI",R & C,Contact the Adjuster whether to collect the deductible.," R  $2,500                            C  $5,000  ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use price list attached to bulletin.","Westfield Insurance Customer Care Center: Phone 866-937-2663, Corry Novosel: Phone 724-776-7200",SNAPA Acct.  Contact adjuster immediately and obtain direction on how to proceed if content cleaning or packout is involved (not included in this program). Water mitigation performed solely in conjunction with fire/smoke job should be included in fire/smoke estimate.  Use DRYING WORKBOOK.
American Standard Lloyds (subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
American Traditions Insurance Company,3315-SF,2/18/2008,U. S. Franchises in FL,R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Local Adjuster or call (845)534-8749.,
American Zurich (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
"Ananke Re Ltd. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Armed Forces Insurance,3712-F,6/21/2010,All U. S. States,R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Ellen Wyrick - 1-800-255-0193, Ext. 4372",
Associates Indemnity (subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Association Casualty Insurance (affiliate of Columbia Insurance),4277-SF,2/28/2013,"U. S. Franchises in AL, FL, GA, IL, IA, KS, KY, LA, MS, MO, NE, NM, NC, OK, SC, SD, TN, TX",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"During Business Hours: Call Assigned Adjuster or one of these branch offices: Atlanta, GA, 800-767-4080;  Austin, TX, 800-252-9641;  Columbia, MO, 800-877-3579;  Omaha, NE, 800-877-4245;  Salina, KS, 800-998-8902
After-Hours: John Killough, Phone 615-426-2664 (AFG Claims Service)","Contact Columbia Ins. Adjuster immediately in these cases: If insured wants to delay any part of the 1/4/8 procedure for an after-hours assignment; if an insured wants to cancel the claim prior to inspection; if an insured want to cancel the claim during initial deployment. Complete as much of Initial Report as possible. Take photos of risk if allowable by policyholder.  Protect salvageable items and leave on site. If removal is necessary, communicate with adjuster. Secure and leave undisturbed any area where cause and origin of loss by suspected subrogation."
Assurance Company of America (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Assurant Specialty PropertyInsurance Company,3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
Augusta Mutual Insurance,4409-SF,9/6/2013,U. S. State of Virginia,R & C,yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Claims:  540-885-5127,"If mold is discovered, contact adjuster for direction on mitigation and payment process.  DRYING WORKBOOK REQUIRED ON ALL WATER LOSSES..Contact the adjuster before testing, disturbing, or moving any building materials."
Auto-Owners Insurance,5074-SF,10/10/2016,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, KY, MI, MN, MO, NE, NC, ND, OH, PA, SC, SD, TN, UT, VA, WI",R & C,Yes," Res.  $2,500                  Comm. $10,000 ",Xactimate ,Use the most current price list provided by Xactimate for your area.,"1) Contact assigned adjuster.  2) Mon.-Fri.7:30am-9:30pm, Sat.-Sun.8:00am-6:30pm EST Phone 1-800-252-4626","THIS IS A SNAPA ACCOUNT.  Services not included within this agreement, but may be available upon request: structural construction or reconstruction services, asbestos or lead abatement, hazardous cleanup, non-covered losses."
Beacon National and Beacon Lloyds (affiliates of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
