Status,Category,Vendor_Name,Phone_Number,Cell_Phone,Fax_Number,Address,Workers_Compensation,Liability_Insurance,Pollution,Auto_Insurance,W-9,Indepndent_Agreement,Email_Address,,,
Active,CARPET/FLOORING,FLORAL PARK DESIGNS,516-352-1323,516-315-5535,516-352-0892,"263 JERICHO TPKE. FLORAL PARK, NY 11001",12/18/16,12/18/16,N/A,NONE ON FILE,YES,YES,,,,
Active,CARPET/FLOORING,NICK D CARPET INSTALLATION INC.,631-374-0423,SAME AS MAIN #,631-419-6087,"34 EATONDALE AVENUE BLUE POINT, NY 11716",3/20/18,12/11/17,N/A,12/24/17,YES,YES,,,,
Active,CARPET/FLOORING,"US PRO SERVICE SOLUTIONS, LLC",347-249-0433,,,"80 BENNINGTON PARKWAY FRANKLIN, NJ 08823",AFFIDAVIT,12/16/17,N/A,3/12/17,YES,YES,JULIE.I.GALLEGO@GMAIL.COM,,,
Active,CONSTRUCTION,"A+ QUALITY DESIGNS, INC",,516-356-8472,,"920 LINCOLN AVENUE SUITE 9 HOLBROOK, NY 11741",3/22/17,2/23/18,N/A,8/10/17,YES,YES,JIMRICECONTRACTING@YAHOO.COM,,,
Active,CONSTRUCTION,"ACCURATE MECHANICAL WORKS, INC.",631-884-0968,516-242-2183,,"667 GRAND AVENUE LINDENHURST, NY 11757",7/17/17,8/30/17,N/A,10/17/16,YES,YES,ACCMECHWKS@AOL.COM,,,
Active,CONSTRUCTION,CHRISTOPHER BAILEY COMPANY,917-287-1538,,,"115-85 SPRINGFIELD BLVD, CAMBRIA HEIGHTS, NY 11411",WILL UPDATE UPON NEW JOB,WILL UPDATE UPON NEW JOB,N/A,WILL UPDATE UPON NEW JOB,YES,WILL UPDATE INITIALS UPON NEW JOB,NOEL_CHRISBAILEY@YAHOO.COM,,,
Active,CONSTRUCTION,G & D RESTORATION CORP.,516-868-0305,516-523-4825,,"120 NORTH OCEAN AVENUE FREEPORT, NY 11520",3/31/17,11/18/17,N/A,NONE ON FILE,YES,YES,JEAN4GEORGE@YAHOO.COM,,,
Active,CONSTRUCTION,GOOD TO GO MAINTENANCE INC.,631-403-7855,,,"554 A UNIT D WEST BROADWAY PORT JEFFERSON, NY 11777",6/17/17,6/17/17,N/A,NONE ON FILE,YES,YES,GOODTOGOINC@GMAIL.COM,,,
Active,CONSTRUCTION,HANNA'S MECHANICAL CONTRACTORS,732-249-4911,908-930-0593,732-249-6911,"44 NORTH MAIN STREET MILLTOWN, NJ 08850",4/23/17,3/5/17,N/A,3/5/17,YES,YES,MIKE@HANNASSERVICES.COM,,,
Active,CONSTRUCTION,ISLAND FLOORS & CONSTRUCTION,631-839-7397,,,"73 DEER LANE MANORVILLE, NY 11949",8/5/17,5/8/17,N/A,NONE ON FILE,YES,YES,ISLANDFLOORS@HOTMAIL.COM,,,
Active,CONSTRUCTION,JNB INTERIORS,631-244-0098,,631-244-0005,"100 B KNICKERBOCKER AVENUE BOHEMIA, NY 11716",4/13/17,9/5/17,N/A,3/17/18,YES,YES,JNBINTERIORS@AOL.COM,,,
Active,CONSTRUCTION,KENNEDY ALL FLOORING LLC,646-807-6463,917-299-1741,,"360 FRANKLIN AVENUE BELLEVILLE, NJ 07109",7/25/17,9/15/17,N/A,9/8/17,YES,YES,PAULATG2007@YAHOO.COM,,,
Active,CONSTRUCTION,MILANO TILE,631-940-1762,516-790-4973,,"124 EASTWOOD AVENUE DEER PARK, NY 11729",6/5/17,8/7/17,N/A,NONE ON FILE,YES,YES,ROS6TAL@GMAIL.COM,,,
Active,CONSTRUCTION,NEW ISLAND REMODELING,631-831-7922,631-774-7769,,"1007 SADDLE ROCK ROAD HOLBROOK, NY 11741",12/4/16,12/12/16,N/A,NONE ON FILE,YES,YES,NEWISLANDREMODELING@YAHOO.COM,,,
Active,CONSTRUCTION,NEW IMAGE HOME REMODELING,631-774-7769,,631-228-4171,"24 SHELL ROAD ROCKY POINT, NY 11778",3/20/18,4/10/18,N/A,7/22/17,YES,YES,NITD123@HOTMAIL.COM,,,
Active,CONSTRUCTION,NRL FIRE PROTECTION SERVICES,845-278-4333,203-395-3300,203-261-1131,"472 PEPPER STREET MONROE, CT 06468",5/17/17,5/17/17,N/A,5/17/17,YES,YES,ALISI@NRLFIREPRO.COM,,,
Active,CONSTRUCTION,PFA CONTRACTING INC.,,,,"17 DEWITT PLACE NEW ROCHELLE, NY 10801",3/10/17,3/10/17,N/A,NONE ON FILE,YES,YES,FAROSSIGNUOLO@GMAIL.COM,,,
Active,CONSTRUCTION,ROCKET INSULATIONS & COATINGS INC.,631-750-9075,SAME AS MAIN #,631-750-9076,"65 B AIR PARK DRIVE RONKONKOMA, NY 11779",6/24/17,8/17/17,N/A,NONE ON FILE,YES,YES,EUGENE@ROCKETINSULATIONNY.COM,,,
Active,CONSTRUCTION,RTD CONTRACTING LTD.,631-567-3809,,631-567-3896,"195 KNICKERBOCKER AVE. SUITE 3 BOHEMIA, NY 11716",5/1/17,4/8/17,N/A,NONE ON FILE,YES,YES,RTDAC@OPTONLINE.NET,,,
Active,CONSTRUCTION SURVEYOR,HARRIS LAYOUT INC.,631-766-6320,,631-821-3425,"18 6TH STREET SOUND BEACH, NY 11789",4/19/17,4/20/17,N/A,1/9/18,YES,N/A,LEED12@HOTMAIL.COM,,,
Active,CONSTRUCTION SURVEYOR,JEFFREY T. BUTLER,,,,"206 LINCOLN STREET RIVERHEAD, NY 11901",10/27/17,10/27/17,N/A,WILL OBTAIN UPON NEW JOB,YES,WILL OBTAIN UPON NEW JOB,MBUTLER75@MAC.COM,,,
Active,DRY CLEANING,CRDN OF NJ,877-879-2736,,732-356-2642,"400 WEST UNION AVENUE BOUND BROOK, NJ 08805",6/1/17,4/4/17,N/A,4/4/17,YES,YES,ANTHONYDELGAIZO@HOTMAIL.COM,,,
Active,DRY CLEANING,CRDN OF WESTCHESTER/FAIRFIELD,914-347-1848,,914-347-2089,"15 HAVEN STREET ELMSFORD, NY 10523",6/1/17,2/1/17,N/A,2/1/17,YES,YES,JAMIE@CRDN.NET,,,
Active,DRY CLEANING,QUALITY CARE CLEANERS,ANGEL 347-977-0198,JUAN 201-749-3914,973-850-6379,"25 AMITY STREET LITTLE FALLS, NJ 07424",10/22/16,10/22/16,N/A,NONE ON FILE,YES,NONE ON FILE,JUAN.GAONA@QUALITYCARERESTORATION.COM,ALTERNATE E-MAIL ANGEL@QUALITYCARERESTORATION.COM,,
Active,DRYING & DEHUMIDIFICATION,DRYING TECHNOLOGIES,631-231-5427,516-551-7575,631-231-5428,"216 N. FEHR WAY SUITE B BAY SHORE, NY 11706",10/20/16,3/11/17,N/A,NONE ON FILE,YES,YES,DTIDRY@AOL.COM,,,
Active,DUCT CLEANING,CUNNINGHAM DUCT CLEANING,631-665-6400,516-991-8397-Marlin,631-665-5378,"869 SYLVAN AVENUE BAYPORT, NY 11705",10/16/16,11/5/16,N/A,NONE ON FILE,YES,YES,CVALDES@CUNNINGHAMDUCT.COM,,,
Active,ELECTRIC,ALL WAYS ELECTRIC,631-666-0477,631-236-2201,631-666-0479,"262 ORINOCO DRIVE BRIGHTWATERS, NY 11718",11/1/17,2/8/18,N/A,7/17/17,YES,YES,ALLWAYSELECTRIC@AOL.COM,,,
Active,ELECTRIC,AMPAK ELECTRICAL SERVICES,718-984-6224,917-754-1261,718-987-2357,"8 JOHNSON STREET STATEN ISLAND, NY 10309",3/18/17,9/17/17,N/A,NONE ON FILE,YES,YES,NICKR@AMPAKELECTRICAL.COM,,,
Active,ELECTRIC,DARLING ELECTRIC CORP.,631-433-7164,,,"7 OLD POST ROAD PORT JEFFERSON, NY 11777",3/22/17,7/17/17,N/A,NONE ON FILE,YES,YES,DARLINGELECTRIC@GMAIL.COM,,,
Active,ELECTRIC,DURO ELECTRICAL CONTRACTORS,914-741-6722,,914-769-1091,"27 SAINT CHARLES STREET SUITE 2 THORNWOOD, NY 10594",4/20/18,4/20/18,N/A,4/20/18,YES,YES,SUSAN@DURO-ELECTRIC.COM,,,
Active,ELECTRIC ,LINEAR ELECTRICAL CONTRACTING,631-882-3555,SAME AS MAIN #,631-772-7429,"181 MONROE STREET MASTIC, NY 11950",5/6/17,4/11/17,N/A,NONE ON FILE,YES,YES,TONYPUBINS@GMAIL.COM,,,
Active,ELECTRIC,NORTHSTAR ELECTRICAL CONTRACTING,631-218-6831,SAME AS MAIN #,631-218-6830,"36-6A CARLOUGH ROAD BOHEMIA, NY 11716",5/14/17,3/8/18,N/A,3/8/18,YES,YES,INFO@NORTHSTARELECTRICLI.COM,,,
Active,ELECTRIC,ROSS ELECTRIC,845-292-1000,,,"431-TWIN BRIDGE ROAD FERNDALE, NY 12734",4/1/17,1/1/18,N/A,1/1/18,YES,YES,VP12754@HOTMAIL.COM,,,
Active,ELECTRIC,STRAWBRIDGE ELECTRIC,732-572-1600,732-522-5339,732-572-1601,"62 RIVERVIEW AVE. EDISON, NJ 08817",8/29/17,8/29/17,N/A,8/29/17,YES,  ,STRAWBRIDGEELECTRIC@COMCAST.NET,,,
Active,ELECTRIC,TFC ELECTRIC,631-589-2800,631-872-3590,631-567-2600,"342 ASTOR DR. SAYVILLE, NY 11782",10/13/17,11/8/17,N/A,3/2/17,YES,YES,TFCELECTRIC@GMAIL.COM,,,
Active,ELECTRONICS RESTORATION,ERS OF THE TRI-STATE,609-357-4922,,SAME AS MAIN #,"92 N. MAIN STREET BLDG. 2 SUITE C WINDSOR, NJ 08561",1/2/18,8/19/17,8/19/17,7/23/17,YES,YES,BRIAN.KOFLOWITCH@ERS-US.COM,,,
Active,ENVIRONMENTAL CLEAN UP,"SILVER WOLF ENVIRONMENTAL, INC",631-806-8018,,631-821-4209,"74 COBBLESTONE DRIVE SHOREHAM, NY 11786",2/6/17,1/14/17,N/A,NONE ON FILE,YES,YES,SILVERWOLFINC@AOL.COM,,,
Active,ENVIRONMENTAL CLEAN UP,"SK ENVIRONMENTAL ASSOCIATES, LLC",908-722-1467,,,"3358 LUKES POND ROAD BRANCHBURG, NJ 08876",6/29/17,4/1/17,4/1/17,NONE ON FILE,YES,N/A,SKENV@VERIZON.NET,,,
Active,ENVIRONMENTAL HEALTH & SAFETY,PHASE ASSOCIATES,973-597-0750,973-568-7851,973-597-6445,"316 EISENHOWER PKWY LIVINGSTON, NJ 07039",8/18/17,11/30/17,11/30/17,11/30/17,YES,YES,GARY@PHASEASSOCIATE.COM,,,
Active,FIRE & SMOKE,"J.D. CARTON & SON, INC.",973-781-1600 X108,732-800-1157,973-386-1694,"90 EAST HALSEY ROAD  SUITE 103 PARSIPPANY, NJ 07054",6/22/17,6/4/17,N/A,NONE ON FILE,YES,YES,BRIANCARTON@JDCARTON.COM,,,
Active,FIRE & SMOKE,SPECIALIST CLEANING,347-617-7123,SAME AS MAIN #,,"141-21 78TH ROAD APT. 3A FLUSHING, NY 11367",7/16/17,5/10/17,N/A,8/27/17,YES,YES,mellisa0615@hotmail.com,,,
Active,FIRE/SMOKE/WATER/MOLD,ALWAYS RESTORATION,631-803-0037,631-445-5928,SAME AS MAIN #,"PO BOX 236 BROOKHAVEN, NY 11719",1/10/18,10/25/17,10/25/17,6/3/17,YES,YES,ALWAYSRESTORATION@GMAIL.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,"CATEGORY 3, LLC ",631-512-5238,,,"51 JOAN AVENUE CENTEREACH, NY 11720",1/16/18,1/12/18,1/12/18,8/2/17,YES,YES,DOMINICK@CATEGORY3LLC.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,EXCELLENT JOB CLEANING CORP.,718-507-8634,917-731-7973,SAME AS MAIN #,"31-22 103RD STREET EAST ELMHURST, NY 11369",7/1/17,8/15/17,8/15/17,7/7/17,YES,YES,NARVAEZCLEANINGCORP@YAHOO.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,EXQUISITE RESTORATION CORP.,917-731-1603,,718-264-0005,"77-42 MAIN STREET SUITE 2A FLUSHING, NY 11367",10/1/17,9/6/17,9/6/17,4/9/17,YES,YES,PROFESSIONALCLEANING38@HOTMAIL.COM,,,
,FIRE/SMOKE/WATER/MOLD,G & C CLEANING SERVICES INC. (FORMERLY GLORIA'S),917-577-3120,SAME AS MAIN #,347-642-3275,"37-63 83RD STREET, #214, JACKSON HEIGHTS, NY 11372",2/28/18,3/13/17,3/13/17,9/19/17,YES,YES,GANDCCLEANINGSERVICESINC@YAHOO.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,G & L's SERVICE CORP.,     718-807-1188,,,"1713 COLDEN AVENUE BRONX, NY 10462",9/1/17,9/3/17,9/3/17,6/24/17,YES,YES,MIKEGONZALEZ0704@GMAIL.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,MS CLEANING SERVICE,347-484-7909,,347-848-0141,"35-23 89TH STREET 1ST FLOOR JACKSON HEIGHTS, NY 11372",8/4/17,6/28/17,10/14/17,NONE ON FILE,YES,YES,MS.CLEANINGSERVICEMM@GMAIL.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,RESTORE 24 SERVICES,,631-790-5417,631-648-4858,"500 PECONIC STREET 223A RONKONKOMA, NY 11779",6/20/17,5/2/17,10/26/17,9/30/17,YES,YES,JAYO.SERVPRO@GMAIL.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,SAPPHIRE RESTORATION,WILLIAM- 917-939-0661 / PATRICIA- 917-337-1099,ALT. CONTACT: RENE 917-217-2431,718-461-2963,"35-07 147TH STREET APT. 2F FLUSHING, NY 11354",1/9/18,1/27/18,1/27/18,1/7/18,YES,YES,pmelendez777@gmail.com,,,
Active,FIRE/SMOKE/WATER/MOLD,SMYLER & SMYLER,917-444-2165,SAME AS MAIN #,,"34-21 78TH STREET SUITE 4D JACKSON HEIGHTS, NY 11732",6/20/17,6/16/17,6/23/17,5/31/17,YES,YES,WILSONSMYLER@GMAIL.COM,,,
Active,FIRE/SMOKE/WATER/MOLD,UNITECH SERVICES GROUP,631-242-7215,631-872-0074,631-242-7206,"241-4 N. FEHR WAY BAY SHORE, NY 11706",7/1/17,12/29/17,12/29/17,7/1/17,YES,YES,HAZWOPPER@AOL.COM,,,
Active,FURNITURE REPAIR,FURNITURE MEDIC OF SOUTH PLAINFIELD,908-755-8440,N/A,908-756-2863,"614 DELMORE AVE. S. SOUTH PLAINFIELD, NJ 07080",6/24/17,9/30/17,N/A,NONE ON FILE,YES,NONE ON FILE,FMEDICNJ@GMAIL.COM,,,
Active,FURNITURE REPAIR,FURNITURE MEDIC OF WESTBURY,516-333-9090,N/A,516-333-0805,"99 FLORIDA STREET FARMINGDALE, NY 11735",1/14/17,12/10/16,N/A,NONE ON FILE,YES,YES,MGLEASON@FURNITUREMEDICNY.COM,,,
Active,HVAC,DANISI ENERGY CO.,631-732-6666,631-681-5598,,"3205 ROUTE 112 MEDFORD, NY 11763",11/1/17,3/24/17,N/A,5/1/17,YES,YES,CHRIS@DANISIENERGY.COM,,,
Active,                HVAC,AARCO ENVIRONMENTAL SERVICES,631-586-5900,RICK 516-351-1878,631-586-5910,"50 GEAR AVE. LINDENHURST, NY 11757",10/13/17,10/13/17,10/13/17,8/14/17,YES,YES,NTREZZA@AARCOENVIRONMENTAL.COM,,,
Active,          ICE PELLETS,APPLE ICE,631-254-0071,,631-254-0192,"171 EAST INDUSTRY COURT DEER PARK, NY 11729",11/26/17,3/17/18,N/A,3/3/18,YES,N/A,RGLASSMAN@APPLEICE.COM,,,
Active,INDUSTRIAL HYGENIST,BLUE SKY INSPECTIONS,631-902-1636,,631-517-9202,"28 EASTWOOD BLVD. CENTEREACH, NY 11720",9/15/17,9/15/17,N/A,7/21/17,YES,YES,ADMIN@BLUESKYNOW.COM,,,
Active,INDUSTRIAL HYGENIST,H2M ,631-756-8000,"WHEN CONTACTING DAVE, USE FAX ONLY",631-694-4122,"538 BROAD HOLLOW ROAD MELVILLE, NY 11747",1/1/18,1/1/18,N/A,1/1/18,YES,YES,DMATTINA@H2M.COM,,,
Active,INDUSTRIAL HYGENIST,INSIGHT ENVIRONMENTAL,631-654-2780,,631-654-2781,"74 EAST MAIN STREET SUITE 1 PATCHOGUE, NY 11772",5/30/17,12/23/17,N/A,12/23/17,YES,YES,ANDREA@INSIGHTENVIRONMENTAL.COM,,,
Active,OIL DELIVERY,CPC ENERGY/ALLIANCE OIL,973-923-3360,,973-923-0359,"469 LYONS AVE. NEWARK, NJ 07112",1/1/18,1/1/18,N/A,1/1/18,YES,YES,CPCENERGYINC@GMAIL.COM,,,
Active,OIL DELIVERY,K.W. RASTALL OIL,732-297-5600,,732-297-4508,"2600 ROUTE 130 NORTH BRUNSWICK, NJ 08902",3/25/17,6/1/17,N/A,6/1/17,YES,YES,JENNIFER@RASTALLOIL.COM…OR MICHELLE@RASTALLOIL.COM,,,
Active,PAINTING,BAUMGARTNER PAINTING,631-872-4026,,,"36 EASTWOOD AVENUE DEER PARK, NY 11729",7/27/17,7/27/17,N/A,NONE ON FILE,YES,YES,RMG0712@YAHOO.COM,,,
Active,PLUMBING & ELECTRIC,KILMEADE CONTRACTING d/b/a SDK ,516-286-8290,,,"65 SUYDAM LANE BAYPORT, NY 11705",9/5/17,4/8/17,N/A,NONE ON FILE,YES,YES,SDKELECTRIC@GMAIL.COM,,,
Active,PLUMBING & HEATING,A1 ALLIANCE PLUMBING & HEATING,908-868-8296,844-217-2115,973-923-0359,"12 BRIAR HILLS CIRCLE SPRINGFIELD, NJ 07081",1/7/18,1/7/18,N/A,1/7/18,YES,YES,A.ALLIANCEPLUMBING@GMAIL.COM,,,
Active,PLUMBING & HEATING,BORIS MECHANICAL,212-260-2006,,,"601 BRIGHTWATER COURT SUITE 2C BROOKLYN, NY 11235",12/31/17,4/24/17,N/A,12/20/17,YES,YES,BORISMECHANICAL@GMAIL.COM,,,
Active,PLUMBING & HEATING,BRANCH PLUMBING & HEATING INC.,631-584-7339,,631-366-4626,"11 DEEPWELLS LANE ST. JAMES, NY 11780",2/5/18,10/4/17,N/A,4/4/17,YES,YES,,,,
Active,PLUMBING & HEATING,CHARGE-IT PLUMBING & HEATING,631-589-1726,631-786-7975-Lou/567-2222-Dave,631-244-6863,"22 KAREN DRIVE SAYVILLE, NY 11782",AFFADAVIT ON FILE,11/17/17,N/A,7/15/17,YES,YES,GREEKPLUM@ME.COM,,,
Active,PLUMBING & HEATING,VARSITY PLUMBING & HEATING,718-358-5400,,718-358-5103,"31-99 123RD STREET FLUSHING, NY 11354",5/1/17,5/1/17,N/A,NONE ON FILE,YES,YES,LCORREA@VARSITYPLUMBING.COM,,,
Active,PORTABLE TOILETS,CALL-A-HEAD,800-634-2085,,800-634-8127,"304 CROSS BAY BLVD. BROAD CHANNEL, NY 11693",5/1/17,9/10/17,N/A,NONE ON FILE,YES,YES,INFO@CALLAHEAD.COM,,,
Active,PORTABLE TOILETS,RUSSELL REID d/b/a MR. JOHN PORTABLE SANITATION,732-692-2434,,732-417-0367,"200 SMITH STREET KEASBY, NJ 08832",4/1/17,4/1/17,N/A,NONE ON FILE,YES,YES,JPRATT@RUSSELLREID.COM,,,
Active,POWER WASHING,ALL PERFECTION POWER WASHING,631-320-3939,ALT # 631-885-1116,,"31 HAGERMAN AVENUE MEDFORD, NY 11763",AFFIDAVIT,9/2/17,N/A,5/4/17,YES,YES,ALLPERFECTIONPW@GMAIL.COM,,,
Active,ROOFING,A-1 ROOFING & SIDING OF LONG ISLAND CORP.,631-928-1826,516-241-9612,631-928-3222,"51 NESCONSET HIGHWAY PORT JEFFERSON, NY 11776",5/26/17,4/22/17,N/A,NONE ON FILE,YES,YES,MARIA@A1ROOFINGANDSIDINGOFLI.COM,,,
Active,SELF STORAGE,MI-BOX MOVING & MOBILE STORAGE OF CENTRAL NJ,732-531-6426,732-266-4397,732-681-8378,"PO BOX 680 BELMAR, NJ 07719",5/15/17,4/15/17,N/A,4/9/17,YES,YES,ERIC@GETMIBOX.COM,,,
Active,SELF STORAGE,PODS                                                              CUSTOMER ID # 18815478 PIN # 1009,888-776-7637,N/A,727-531-0525,"5585 RIO VISTA DRIVE CLEARWATER, FL 33760",10/1/17,10/1/17,N/A,10/1/17,YES,NO/REFUSED TO SIGN,,,,
Active,SELF STORAGE,UNIT 2 GO,631-734-2166,,631-734-2178,"50 COMMERCE DRIVE CUTCHOGUE, NY 11935",8/21/17,2/6/18,N/A,2/6/18,YES,YES,SALES@UNIT2GO.COM,,,
Active,STORAGE,"A-1 VIKING FIRST CLASS MOVING & STORAGE, INC",718-745-3400,646-591-1606,,"156 HINSDALE ST. BROOKLYN, NY 11207",10/1/17,2/1/18,N/A,2/1/18,YES,NONE ON FILE,MATT@A1FIRSTCLASS.COM,,,
Active,STORAGE,"J.D. CARTON & SON, INC.",973-781-1600 X108,732-800-1157,973-386-1694,"90 EAST HALSEY ROAD  SUITE 103 PARSIPPANY, NJ 07054",6/22/17,6/4/17,N/A,NONE ON FILE,YES,YES,BRIANCARTON@JDCARTON.COM,,,
Active,STORAGE,PACK RAT,800-PACK-RAT,,609-409-8140,"8 NICHOLAS COURT UNIT A DAYTON, NJ 08810",1/1/18,1/1/18,N/A,1/1/18,YES,NO/REFUSED TO SIGN,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
